id,title,description,author,publication,isbn,pages,image
10,Petit Livre du lâcher-prise - Recentrez-vous sur l'essentiel,"Vous êtes constamment stressé au travail, à la maison, en famille ? Vous ruminez et n'arrivez pas à vivre pleinement chaque instant ? Bref, vous êtes anxieux et n'arrivez pas à trouver le chemin vers le bien-être ? Vous devez lâcher prise !
Lâcher prise consiste à sortir des préoccupations du mental pour vivre l'instant présent tel qu'il est. 
Cela permet de se débarrasser du superflu et de prendre du recul pour se centrer sur l'essentiel.Ce petit livre, constitué d'une multitude d'exercices pratiques, sera votre guide pour vous libérer de vos blocages et retrouver une harmonie intérieure.",Emilie Pernet,20 sept. 2018,9782412039168,160,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjQxMjAzOTE2OC8zZGJlYWE2ZWQ0NTAyNjYzZTZjYzUxNTg2MDI0YWVjMTBjYzk5MjljLmpwZWc=/3dbeaa6ed4502663e6cc51586024aec10cc9929c-250-375.jpeg?v=1&w=250&h=375&resize=fit
11,Foutez-vous la paix !,"Foutez-vous la paix ! 
Cessez d'obéir . Vous êtes intelligent
Cessez d'être calme . Soyez en paix 
Cessez de vouloir être parfait . Acceptez les intempéries 
Cessez de rationaliser . Laissez faire 
Cessez de vous comparer . Soyez vous-même 
Cessez d'avoir honte de vous . Soyez vulnérable 
Cessez de vous torturer . Devenez votre meilleur ami 
Cessez de vouloir aimer . Soyez bienveillant",Fabrice Midal,20 sept. 2018,9782266278362,157,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI3ODM2Mi9lNDAyMzNiN2FlMmUxMGY1YzQxOGY3NDJjYWMyYWExODZjMWM0Y2QwLmpwZWc=/e40233b7ae2e10f5c418f742cac2aa186c1c4cd0-250-375.jpeg?v=1&w=250&h=375&resize=fit
56,Le Piège du bonheur,"Êtes-vous, comme des millions de personnes, tombé dans le piège du bonheur ? Selon l'auteur, notre volonté d'être heureux à tout prix contribue à intensifier anxiété et dépression. Nous ne faisons alors que fuir nos problèmes au lieu de les apaiser et de les transformer.Grâce à cet ouvrage et à la thérapie AGT, une psychothérapie révolutionnaire basée sur les plus récentes recherches en psychologie du comportement, composez avec vos émotions douloureuses, surmontez le doute et l'insécurité, construisez-vous une vie riche et pleine de sens !",Russ Harris,18 mai 2017,9782266269230,381,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI2OTIzMC9iMmJjYzZmZjFiOGUxMTg4OGVmYTc0NzY0NmUxNTg1MmU0OWZiNmYyLmpwZWc=/b2bcc6ff1b8e11888efa747646e15852e49fb6f2-250-375.jpeg?v=1&w=250&h=375&resize=fit
13,Les mots sont des fenêtres (ou bien ce sont des murs),"La plupart d'entre nous avons été élevés dans un esprit de compétition,
 de jugement, d'exigence et de pensée de ce qui est «bon»
 ou «mauvais». Au mieux, ces conditionnements peuvent conduire
 à une mauvaise compréhension des autres, au pire, ils génèrent
 colère, frustration, et peuvent conduire à la violence. Une communication
 de qualité entre soi et les autres est aujourd'hui une des
 compétences les plus précieuses.Par un processus en quatre points, Marshall Rosenberg met ici
 à notre disposition un outil très simple dans son principe, mais
 extrêmement puissant, pour améliorer radicalement et rendre vraiment
 authentique notre relation aux autres.Grâce à des histoires, des exemples et des dialogues simples,
 ce livre nous apprend principalement :
à manifester une compréhension respectueuse à tout
 message reçu,
à briser les schémas de pensée qui mènent à la colère et à
 la déprime,
à dire ce que nous désirons sans susciter d'hostilité,
à communiquer en utilisant le pouvoir guérisseur de l'empathie.
Cette nouvelle édition est par ailleurs enrichie d'un important
 chapitre sur la médiation et la résolution des conflits.
Bien plus qu'un processus, c'est un chemin de liberté, de
 cohérence et de lucidité qui nous est ici proposé !",Marshall B. Rosenberg,28 avr. 2016,9782707188793,318,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjcwNzE4ODc5My8zOTg4ZDc2MjFmODEyMWViMjE1MjRjODBjOTI0YTFmZjI0NTUyYjZlLmpwZWc=/3988d7621f8121eb21524c80c924a1ff24552b6e-250-375.jpeg?v=1&w=250&h=375&resize=fit
14,Et si la vie n'était qu'un début ?,"Et si la vie n'était qu'un début ?
Enfant, Jean est déjà différent des autres. Au collège, il sidère ses camarades en leur racontant des scènes qu'ils vivent quelques instants plus tard. Au fil des années, Jean devient de plus en plus clairvoyant, devinant secrets et non-dits.Puis des voix commencent à lui parler. Celles des morts qui ne cesseront de l'interpeller. Il décide alors d'être un passeur entre notre monde et celui des esprits pour venir en aide aux vivants. Nombreuses sont les personnes qui viennent chercher des réponses auprès de lui. Certaines, très connues ; d'autres, simples anonymes. Toutes sont impressionnées par ses dons de voyance et de guérisseur. À ses côtés, même les plus sceptiques se mettent à croire en un au-delà.Car Jean Testanière nous apporte une réponse consolatrice à une question fondamentale : et si la vie n'était qu'un début ?",Jean Testanière,23 févr. 2023,9782266331937,263,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjMzMTkzNy82ZDFkZTg4NDQ4YTQ2ODY4NTk3OWEwNGQ4NjVjNjU5ZDhlMTIwOTE2LmpwZWc=/6d1de88448a468685979a04d865c659d8e120916-250-375.jpeg?v=1&w=250&h=375&resize=fit
16,La vie m'a réservé bien des surprises,"Véronika Loubry a affronté avec courage les changements et les épreuves, de l’arrêt de sa carrière d’animatrice pour se consacrer à ses enfants à la terrible nouvelle du cancer de son compagnon. Dans son livre, elle revisite les moments marquants de sa vie et se livre comme jamais auparavant.À 55 ans, cette animatrice vedette s’est adaptée à son époque et a complètement réinventé sa vie. Suivie par des milliers d’abonnés sur ses réseaux sociaux, qu’elle considère comme ses « Instaamies », elle partage les clés de son bonheur et encourage chacun à accepterles surprises de la vie.À travers des souvenirs et des anecdotes, elle dévoile sa philosophie qui lui permet d’avancer avec sérénité face aux défis de la vie.Les MEILLEURS CONSEILS pour faire face aux ÉPREUVES, SE RELEVER et vivre dans la JOIE !Véronika Loubry, ancienne animatrice vedette de télévision, multiplie les casquettes et s’est reconvertie en créatrice de mode et influenceuse. Sur son compte Instagram @veronikaloubry, elle partage son quotidien et prend la parole pour lutter contre les diktats, notamment celui de l’âge.",Véronika Loubry,26 mars 2024,9791028530839,192,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAyODUzMDgzOS81M2QzZDAxMjcwNTBjYTc3MmI5NDljZTdjNmI0ODBjN2ExMWVmOTBlLmpwZWc=/53d3d0127050ca772b949ce7c6b480c7a11ef90e-250-375.jpeg?v=1&w=250&h=375&resize=fit
17,Coloriages et activites pour les enfants,"Coloriages / mystères

Les grands classiques

Tome 3

Disney

100 scènes à colorier

La Fée Clochette ou Raiponce ? Les mondes de Ralph ou Zootopie ? La Reine des Neiges ou Alice au Pays des Merveilles ?Découvrez à nouveau dans ce troisième tome des Grands Classiques Disney les personnages des chefs-d'oeuvre Disney ! Grâce aux codes couleurs, démêlez les entrelacs des lignes, appliquez chaque nuance dans la zone correspondante et révélez la scène représentée.Détendez-vous, retrouvez votre âme d'enfant ainsi que le plaisir de créer.","ANDRIEU, CLAIRE",10 mai 2017,9782016254899,100,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjAxNjI1NDg5OS82YjBmNDFmOTUwMDA1MTk2YWRiNDAxMTZjNTY2ZDU1MjYzNmM0MDMyLmpwZWc=/6b0f41f950005196adb40116c566d552636c4032-250-375.jpeg?v=1&w=250&h=375&resize=fit
30,"Cessez d'être gentil, soyez vrai! (edition illustree)","Vous en avez assez de vous plier en quatre, de ne pas oser dire non, d'être une personne trop timide ou, au contraire, agressive? Détendez-vous! Déployez-vous! Voici la version illustrée du best-seller Cessez d'être gentil, soyez vrai pour tous ceux qui aiment apprendre à mieux vivre ensemble... en s'amusant! Découvrez comment devenir vous-même tout en respectant l'autre, sans culpabilité, sans suradaptation, sans peur du regard de l'autre, sans écraser, ni vous écraser. Votre attitude encouragera les autres à faire de même.  ÊTRE VRAI, C'EST CONTAGIEUX!",Thomas D'Ansembourg,20 mars 2014,9782761938822,152,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjc2MTkzODgyMi83YzRmOGQ1MDA4MjMxNDkzZmJkMTQ1ZDdmMmU5YmFmOTA4M2JmYWNjLmpwZWc=/7c4f8d5008231493fbd145d7f2e9baf9083bfacc-250-375.jpeg?v=1&w=250&h=375&resize=fit
18,Pause,"« Ce que tu vois sur Instagram est un leurre. La vraie vie, tu le sais, est bien plus complexe. Tu cherches ta voie vers l’épanouissement, le bonheur ?Ce livre est fait pour toi.Ma méthode est simple : elle s’appuie sur mon expérience et sur celle de toutes ces personnes ordinaires au destin extraordinaire avec lesquelles j’ai échangé dans le podcast PAUSE. Mon fil conducteur est clair, il tient en un mot : l’alignement. C’est la possibilité que nous avons tous de vivre en adéquation avec notre vérité, avec ce que nous pensons, ce que nous espérons, ce pour quoi nous avons envie de nous battre.Prenons une pause ensemble. Je vais te confier ce que j’ai appris pour te permettre, à ton tour, de mieux trouver ta voie. Tu le verras, chacune de tes failles, mais aussi chacun de tes atouts, t’aidera à tracer ton chemin pour une vie alignée... »Entrepreneur engagé à succès en Europe et aux États-Unis, Alexandre Mars est le président et fondateur d’Epic, fondation qui oeuvre en faveur de la jeunesse et de l’environnement, de blisce/, société d’investissement responsable qui a soutenu des start-up comme Too Good To Go, Brut. ou encore Spotify, et d’INFINITE, entreprise sociale qui a pour objectif de permettre aux étudiants issus de milieux populaires d’accéder aux meilleures écoles et universités du monde.Il est également membre du conseil d’administration et ambassadeur des Jeux olympiques et paralympiques de Paris 2024. Il anime le podcast PAUSE et est l’auteur de La Révolution du partage et d’Ose !, traduits en plusieurs langues.",Alexandre Mars,13 mars 2024,9782213727028,250,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIxMzcyNzAyOC8wYmFiYTgzNTdmZDliYjEyNjljYjk2MzcwOTQ0ODdjN2FlNmU2MzgzLmpwZWc=/0baba8357fd9bb1269cb9637094487c7ae6e6383-250-375.jpeg?v=1&w=250&h=375&resize=fit
19,La Puissance de l'acceptation,"Ce livre rélève le coeur de l'enseignement de Lise Bourbeau : la clef du bonheur est de pratiquer l'acceptation de ce que nous sommes. Cessons de nous blâmer ou de critiquer les autres, mais apprenons à nous écouter. Grâce à Lise Bourbeau vous saurez comment faire la différence entre accepter, se soumettre et comprendre. Vous découvrirez le sens de l'amour véritable - que nous confondons trop souvent avec le dévouement, la pitié ou la passion.Ce livre unique vous épaulera tout au long de votre vie.",Lise Bourbeau,7 sept. 2017,9782266268172,285,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI2ODE3Mi9hN2EyMjc3YTgyYWNiMTViMjNjOWI1Yjg5ODEyMzYzMjY3MjU4ZmVjLmpwZWc=/a7a2277a82acb15b23c9b5b89812363267258fec-250-375.jpeg?v=1&w=250&h=375&resize=fit
