Title,Description,Author,Publication Date,ISBN,Pages,Image URL
Ikigai,"La scène se passe dans un parc à Tokyo. Deux amis conversent sur le sens de la vie et sur l'étonnante longévité des Japonais. Un mot est alors lancé : ikigai, qui signifie littéralement « la joie d'être toujours occupé ». D'après les Japonais, nous possédons tous un ikigai, une raison d'exister, qui nous pousse à nous lever chaque matin et à être acteurs de notre vie.Comment ces « supercentenaires » définissent-ils leur ikigai et en quoi les guide-t-il au quotidien ? Quelles sont les habitudes à adopter pour mieux vivre ?Dans un livre à mi-chemin entre le guide et le témoignage, les auteurs nous invitent à découvrir notre propre ikigai pour mener une vie longue et harmonieuse.",Francis Amalfi,22 nov. 2018,9782266286688,189,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI4NjY4OC9iMWJkZTY5NjY0ZTAxZjU1ZGU3Y2Q4YWYyMDI3OWUwZGE0NDQ4YTA3LmpwZWc=/b1bde69664e01f55de7cd8af20279e0da4448a07-250-375.jpeg?v=1&w=250&h=375&resize=fit
Respirer - Le pouvoir extraordinaire de la respiration,"Respirer
Comment respirer ?Nous sentons bien que dans cette activité se cache l'une des causes premières de notre bien-être. Mais tout ce que nous savons sur la respiration est flou, parfois inexact, souvent même faux !Dans ce livre qui a fait date, l'auteur s'est livré à une grande enquête auprès de scientifiques, de maîtres yogis, de sportifs de haut niveau, et vous dit tout des pouvoirs insoupçonnés de la respiration.Apprenez à mieux respirer et par la même occasion à redresser votre corps, à prévenir certaines affections (allergies, asthme, anxiété, TDAH...), mais surtout à équilibrer votre mental pour vivre en meilleure santé, plus longtemps.",James Nestor,20 oct. 2022,9782266327497,426,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjMyNzQ5Ny8wNTQ2M2ZhYmRhODQwYmMzOGIyN2FlZDk1NGE3ZGIxZTZiMGU5ZGJhLmpwZWc=/05463fabda840bc38b27aed954a7db1e6b0e9dba-250-375.jpeg?v=1&w=250&h=375&resize=fit
Développez vos facultés psychiques et spirituelles,"Développez vos facultés psychiques et spirituelles
Nous possédons tous des facultés psychiques et spirituelles à l'état latent (intuition, clairvoyance, télépathie, médiumnité, vision de l'aura, voyage astral, magnétisme, radiesthésie...) qui ne demandent qu'à être révélées.Dans ce livre pratique et accessible, l'auteur fait le point sur vos différents potentiels. Grâce à des exercices adaptés, vous apprendrez progressivement à percevoir, toucher, sentir, et ressentir au-delà des cinq sens physiques, appréhendant ainsi les dimensions invisibles.En étroit contact avec vos capacités les plus subtiles, vous découvrirez des domaines insoupçonnés qui transformeront votre regard sur le monde qui vous entoure...Nous sommes des êtres spirituels, ne l'oublions pas...",Serge Boutboul,16 avr. 2007,9782911525667,428,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjkxMTUyNTY2Ny8zOWNjMDA3ODI0NTNiNGNjZTA1OTc3YzdmNGQ0NGI0N2FhMzBiMjA5LmpwZWc=/39cc00782453b4cce05977c7f4d44b47aa30b209-250-375.jpeg?v=1&w=250&h=375&resize=fit
Osez l'optimisme,"Osez l'optimisme !
« Je n'ose pas me lancer. » Cette phrase, Catherine Testa voudrait ne plus jamais l'entendre.Nouvelle relation amoureuse, changement de métier ou nouveau projet, quel que soit votre objectif, surmontez vos peurs et prenez confiance en vous. La clé ? L'optimisme !Ponctué d'exemples concrets et de mantras positifs, Osez l'optimisme est une véritable bouffée de bonheur.
Essayez. Au pire, ça marche !",Catherine Testa,10 janv. 2019,9791022403238,182,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAyMjQwMzIzOC9jOGU1YTBiMTJhMmI5NWU1OGRlNjUzMTc0YWUzYTAzZjRiYjVkYTkwLmpwZWc=/c8e5a0b12a2b95e58de653174ae3a03f4bb5da90-250-375.jpeg?v=1&w=250&h=375&resize=fit
Le Pouvoir des Mots...qui me libèrent !,"Il est dit que « les mots sont le miroir du cœur » et sont aussi le reflet de mes pensées. Ainsi, si je veux avoir un langage rempli de Liberté, de Sagesse et d’Amour, il y a des mots ou du moins une certaine forme de langage dont je dois tenir compte. Ce livre se veut un outil pratique. Il me donne la connaissance de certains mots reliés à des principes spirituels qui peuvent convenir dans mon langage courant avec ma famille, mes amis, mes relations de travail, de même que lorsque je m’adresse en public. Conférencier depuis 1978, l’auteur nous partage aussi son expérience et les mots qu’il utilise dans ses communications avec le public lors de ses conférences au Québec et en Europe depuis 1998, afin de faciliter une meilleure compréhension au niveau du cœur♥.",Jacques Martel,22 nov. 2011,9782923364384,,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjkyMzM2NDM4NC9mZDdkMDA5ZDNmMTM4ZjIwNDgyNmU2ZTYwZjA1MDI3NjFlMjM2YWY1LmpwZWc=/fd7d009d3f138f204826e6e60f0502761e236af5-250-375.jpeg?v=1&w=250&h=375&resize=fit
Traverser la peur - L'odyssée du réel,"Traverser la peur
La peur gouverne notre époque.Partout s'imposent des images et des messages anxiogènes. Alors que tout est progressivement perçu comme dangereux, les peurs enflent démesurément et notre société s'enferme dans l'impasse de l'hypercontrôle.Comment faire face individuellement ? Comment proposer une voie collective autre que la crispation totalitaire ?Le Dr Louis Fouché, dans un style à la fois vif et poétique, dévoile la peur comme clé de voûte de toutes les manipulations. Il insiste sur le rôle des rituels, des refrains et des figures d'attachement, pour aider chacun à trouver son propre chemin d'autonomie et de paix. À travers un mélange inédit de vulgarisation scientifique, de philosophie et de fiction, il dessine des pistes pour traverser la peur et la transformer en courage, en initiation.Inspiré à la fois des stoïciens et des épicuriens antiques, il met en lumière l'important : vivre héroïquement ses propres peurs.",Louis Fouché,4 oct. 2023,9782813229915,321,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgxMzIyOTkxNS84ZjI1NTgyZTBmMGFjYmNlY2YwMDliNWM0MDcxZDE4ZjIxNjU4YjQwLmpwZWc=/8f25582e0f0acbcecf009b5c4071d18f21658b40-250-375.jpeg?v=1&w=250&h=375&resize=fit
Le TDA/H chez l'adulte,"Alors que les ouvrages traitant du TDA/H chez l'enfant sont nombreux, les explications relatives à ce trouble chez l'adulte se font plus rares. Pourtant, le TDA/H ne disparait pas avec l'âge : ses différents symptômes continuent à se manifester au quotidien et peuvent rendre la vie de ces adultes compliquée. Alors, concrètement, comment contourner son TDA/H pour le vivre plus sereinement ?Pascale De Coster répond de manière claire et concrète à cette question. Se basant sur de nombreux témoignages, elle revient sur les différentes manifestations du TDA/H, et en explique les impacts sur la vie personnelle, familiale et professionnelle de l'adulte. L'auteure propose ainsi une véritable boite à outils : exposant des méthodes testées et approuvées, elle offre nombre d'outils pratiques, de conseils concrets et de stratégies permettant de comprendre son TDA/H pour parvenir à le dompter au quotidien.
Les outils indispensables pour mieux vivre son TDA/H en tant qu'adulte !",Pascale De Coster,10 févr. 2022,9782804720971,238,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgwNDcyMDk3MS9mZGI5NDk4NTQ2OTMxMjI4ZjEwM2M0YTM3Y2Y5M2I4OGI3Zjk0NDczLmpwZWc=/fdb9498546931228f103c4a37cf93b88b7f94473-250-375.jpeg?v=1&w=250&h=375&resize=fit
Le Code,"Le code
Comment accepter les événements de la vie avec sérénité ? Comment éviter de s'inquiéter des choses qui sont hors de notre contrôle ? Comment atteindre une vie heureuse, juste et bonne ?Pour répondre à ces questions, Cyrus North s'appuie sur une philosophie millénaire, le stoïcisme, et sur les découvertes les plus récentes sur le fonctionnement de nos émotions.Avec un ton plein d'humour, il nous propose son code pour faire le tri dans notre vie, réorganiser nos priorités et être tout simplement plus heureux. Oui, rien que ça ! Riche d'expériences scientifiques, de situations réelles ou encore d'anecdotes personnelles, ce livre sera pour vous un guide vers la sérénité dans ce monde qui va à 100 à l'heure.",Cyrus North,18 oct. 2023,9782226466464,197,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIyNjQ2NjQ2NC8yYTU1NjU4ZWE0YTkwYmU4NGMzYzQzN2ZlNDYxMjA5NTFlNDMyZTYxLmpwZWc=/2a55658ea4a90be84c3c437fe46120951e432e61-250-375.jpeg?v=1&w=250&h=375&resize=fit
Messages vibratoires,"Découvrez 65 messages vibratoires pour vous aligner et manifester vos rêves les plus grands.Que vous les tiriez tous les jours ou de temps en temps, ils vous guideront vers votre chemin d'éveil.",Le monde s'éveille,26 avr. 2023,9782017216339,,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjAxNzIxNjMzOS8wN2E4MDAyNjZkMjllODJkODY2OWU3ODg5MTkxYzJiNTY3ODYyMWEzLmpwZWc=/07a800266d29e82d8669e7889191c2b5678621a3-250-375.jpeg?v=1&w=250&h=375&resize=fit
"Etre heureux, ce n'est pas nécessairement confortable : trouver le bonheur et non ce que l'on croit être le bonheur","Beaucoup d'entre nous croient que, pour être heureux,
 il faut se sentir bien tout le temps et mener la vie
 de ses rêves. Cette erreur nous empêche de goûter
 pleinement les moments de joie. Et nous pouvons
 rester captifs longtemps de cette illusion...Des pièges anti-bonheur, Thomas d'Ansembourg
 en a cerné plusieurs, tant dans sa propre vie que dans
 celle des gens qu'il rencontre lors de ses conférences.
 Au fil des ans, il a analysé leurs mécanismes et leurs
 manifestations quotidiennes dans nos habitudes et
 nos façons de penser. À l'aide d'exemples concrets,
 il nous invite à en prendre conscience et nous propose
 des moyens pour nous en libérer. Une démarche
 essentielle pour vaincre nos difficultés et nos
 souffrances, et ressentir un bien-être intérieur de plus
 en plus fort.",Thomas D'Ansembourg,16 oct. 2008,9782266181259,350,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjE4MTI1OS9hYTAwYWMzNjQ3ZTY2N2IyNzhlMjk1ZWM1ZjQ0MjE4MTUzYmIyOTc0LmpwZWc=/aa00ac3647e667b278e295ec5f44218153bb2974-250-375.jpeg?v=1&w=250&h=375&resize=fit
"Aimer, ça s'apprend !","7 chemins de développement relationnel pour guérir son moi blessé, panser ses blessures narcissiques et vivre (enfin !) en paix avec soi-même et les autres.
Philosophe de la relation, Arouna Lipschitz nous transmet le fruit de sa longue expérience, en partant d'un constat très simple : nous ne vivons pas seuls. De notre naissance à notre mort, l'Autre fait partie de notre être, de notre rapport au monde.Chargés de nos blessures d'enfance, de nos souffrances latentes, de nos peurs qui nous poussent à vivre nos relations comme des pansements ou des luttes, sommes-nous vraiment prêts à aimer ? Quelle route emprunter pour éviter les écueils du développement personnel qui s'épuise s'il reste centré sur le « moi, moi, moi » ? Comment faire en sorte que notre développement spirituel ne fasse pas passer le « divin » avant notre prochain ?La clé de relations amoureuses épanouies - qu'il s'agisse des relations de couple ou, plus largement, de celles que l'on entretient avec ses amis, sa famille, ses collègues... - réside dans le développement relationnel : un concept élaboré par Arouna Lipschitz pour désigner une véritable philosophie de vie, mais aussi une approche pratique qui bouleversera au quotidien votre manière d'aimer.À travers des explications claires et accessibles, des citations inspirantes et des outils très concrets (échelles d'auto-évaluation, exercices...), ce livre vous accompagnera pas à pas dans un processus de profonde transformation intérieure qui fera de vous un être capable d'aimer mieux et d'être mieux aimé en toute liberté.",Arouna Lipschitz,7 févr. 2024,9791033916154,319,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAzMzkxNjE1NC9iNzg4Yjk5NzEwMWU4ZjI0ZDEwMThjMTkwMTZlOWExOTc2OTE0Mjc2LmpwZWc=/b788b997101e8f24d1018c19016e9a1976914276-250-375.jpeg?v=1&w=250&h=375&resize=fit
"The Secret, la Magie","Un mot a le pouvoir de tout changer
Depuis plus de deux mille ans, certains mots figurant dans un texte sacré ont troublé et laissé perplexe la plupart de ceux qui les ont lus. Seules quelques personnes à travers l'histoire ont compris qu'il s'agissait d'une énigme à résoudre et que, une fois le mystère élucidé, un nouveau monde apparaîtrait alors sous leurs yeux.Dans La Magie, Rhonda Byrne révèle au monde un savoir capable de tout changer. Au cours d'un incroyable voyage de 28 jours, elle nous enseigne comment appliquer ce pouvoir à notre vie quotidienne.Peu importe qui et où vous êtes, peu importe votre situation actuelle, La Magie s'apprête à transformer radicalement votre vie.",Rhonda Byrne,21 sept. 2012,9782813204943,262,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgxMzIwNDk0My9lNzEwMjg5OWQ4MzhmNDUzMTg1NjBhZWQ1Y2M4NGNlMTFhOWE5NDJmLmpwZWc=/e7102899d838f45318560aed5cc84ce11a9a942f-250-375.jpeg?v=1&w=250&h=375&resize=fit
Stop au contrôle,"Alors qu'il existe tant d'ouvrages de régime et de diète, ce livre unique en son genre va vous aider à changer votre relation à la nourriture et vous permettre de mieux vous comprendre. Vous réaliserez de quelle façon vous contrôlez votre alimentation et combien ce contrôle peut vous être néfaste. Vous apprendrez à reconnaître rapidement les blessures émotionnelles qui vous empêchent de bien vous nourrir. Par des techniques simples et accessibles, vous transformerez à jamais votre vie.",Lise Bourbeau,3 janv. 2019,9782266295024,220,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI5NTAyNC8wMGJlY2ExNWNmMTk3MDU0YWI3MTkxZGI3MDFiMjgwYTg0NjE4ODZhLmpwZWc=/00beca15cf197054ab7191db701b280a8461886a-250-375.jpeg?v=1&w=250&h=375&resize=fit
La magie de voir grand,"«Partout à travers le monde, des millions de gens ont amélioré leur vie grâce à La magie de voir grand. Le Dr David J. Schwartz, longtemps considéré comme l'un des plus grands spécialistes de la motivation, vous aidera à mieux vendre, à mieux diriger, à gagner davantage d'argent et - plus important encore - à trouver un plus grand bonheur et la paix de l'esprit. La magie de voir grand présente des méthodes qui fonctionnent, pas des promesses creuses. Le Dr Schwatz propose un programme soigneusement conçu pour que vous tiriez le meilleur parti de votre emploi, de votre mariage, de votre vie familiale et de votre communauté. Il prouve qu'il n'est pas nécessaire d'être un intellectuel ou de posséder un talent inné pour connaître le succès et la satisfaction - mais vous devez apprendre à penser différemment et à modifier vos habitudes. Ce livre vous révèle ces secrets! Découvrez les secrets du succès - voyez grand et réalisez tous vos rêves: ¤ Pour réussir, il suffit de croire; ¤ Comment échapper à l'«excusite», la maladie de l'échec; ¤ Comment penser et rêver de façon créative; ¤ Vous êtes à l'image de vos pensées; ¤ Mettez vos attitudes de votre côté; ¤ Comment voir grand; ¤ Comment transformer l'échec en victoire; ¤ Pour progresser, fixez-vous des objectifs; ¤ Comment penser comme un chef. Commencez dès maintenant et découvrez la puissance magique de votre esprit.",David Joseph Schwartz,19 nov. 2015,9782892258943,384,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjg5MjI1ODk0My80ZWYwY2I2YTI1OWNlMmRmZjQ0NmExZTNiODM3MzUzNGRiZmEzNmZiLmpwZWc=/4ef0cb6a259ce2dff446a1e3b8373534dbfa36fb-250-375.jpeg?v=1&w=250&h=375&resize=fit
Petite philosophie du matin,"Petite philosophie du matin

Comment être plus calme, plus équilibré et donc plus heureux jour après jour ?
Ce livre rassemble des petites stratégies destinées à aider chacun d'entre nous à réussir sa vie et à surmonter avec distance les petits tracas quotidiens. Il suffit chaque matin de prendre de bonnes résolutions et de décider que la journée sera réussie, envers et contre tout !
Conseils, exercices pratiques, petites phrases à méditer, voici 365 pensées à mettre en application dès le début de la journée pour une existence plus sereine et plus épanouie.",Catherine Rambert,17 oct. 2007,9782253084297,399,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI1MzA4NDI5Ny8yMDhmNDJhMWNhMzMzOWU5YjY4YWM0NjhjOWNhYjY0MDAyMTgzYjM5LmpwZWc=/208f42a1ca3339e9b68ac468c9cab64002183b39-250-375.jpeg?v=1&w=250&h=375&resize=fit
"Guerir le stress, l'anxiété et la dépression","Présentation de nouvelles méthodes permettant de guérir stress, anxiété et dépression sans médicaments ni psychothérapie : désensibilisation par les mouvements oculaires, régularisation du rythme cardiaque par bio-feedback, la synchronisation des horloges biologiques par les simulateurs d'aube, rôle bénéfique de l'exercice physique ou des acides gras ""oméga-3"".",David Servan-Schreiber,16 mai 2011,9782266219518,336,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjIxOTUxOC83ZDJhYjMxYjkyMDkzZjM2NDI1NTIxMzg4OWMyOTRjY2E3MDVkYTZlLmpwZWc=/7d2ab31b92093f364255213889c294cca705da6e-250-375.jpeg?v=1&w=250&h=375&resize=fit
Je pense (trop) mieux,"La parution de Je pense trop a été (et est encore !) une aventure extraordinaire. Je n'avais jamais reçu autant de lettres, d'e-mails, de posts, de textos à propos d'un de mes livres ! Vous m'avez fait part de votre enthousiasme, de votre soulagement et vous m'avez bombardée de questions : sur les moyens d'endiguer votre hyperémotivité, de développer votre confiance en vous, de bien vivre votre surefficience dans le monde du travail et dans vos relations amoureuses... Vous avez abondamment commenté le livre. Je me suis donc appuyée sur vos réactions, vos avis, vos témoignages et vos astuces personnelles pour répondre à toutes ces questions. Je pense trop est devenu le socle à partir duquel j'ai élaboré avec votre participation active de nouvelles pistes de réflexion pour mieux gérer votre cerveau.

Je pense mieux est un livre-lettre, un livre-dialogue, destiné aux lecteurs qui connaissent déjà Je pense trop et qui en attendent la suite.",Christel Petitcollin,9 mars 2015,9782813207951,238,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgxMzIwNzk1MS9iNTUyNjQyNjNiMGE0MGM3N2FlNGZlZTJmZDNhZjdjMWJkMjI4OTM5LmpwZWc=/b55264263b0a40c77ae4fee2fd3af7c1bd228939-250-375.jpeg?v=1&w=250&h=375&resize=fit
Méditer jour après jour (+CD),"Méditer, ce n'est pas se couper du monde, mais au contraire se rapprocher de lui pour le comprendre, l'aimer et le changer. C'est aussi un moyen, accessible à tous, de cultiver la sérénité et le goût du bonheur. Cet ouvrage est conçu comme un manuel d'initiation à la pleine conscience, la plus fascinante des méthodes de méditation, étudiée et validée par la recherche scientifique.Au travers de 25 leçons, vous aborderez l'essentiel. Depuis les bases : comment utiliser la respiration, le corps, la conscience de l'instant présent ; jusqu'aux méditations approfondies : faire face à la souffrance, stabiliser ses émotions, construire la paix de l'esprit et du coeur...
Ce manuel pratique et poétique comporte :

Des textes pour comprendre
Des peintures pour ressentir
Un CD pour pratiquer",Christophe André,6 oct. 2011,9782913366374,304,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjkxMzM2NjM3NC9lYmI1NjNjN2NmMGIyMzI5YjlhMzJhZTYxZmM2MmZmNjZkZWI0ZGEwLmpwZWc=/ebb563c7cf0b2329b9a32ae61fc62ff66deb4da0-250-375.jpeg?v=1&w=250&h=375&resize=fit
Synchronicity,"Partez à la rencontre des synchronicités
Dans ce magnifique coffret, découvrez 100 cartes illustrées ainsi qu'un livre d'accompagnement de 200 pages, et participez à une multitude d'exercices ludiques.Voici plusieurs niveaux pour créer des interactions avec le futur :
seul, en pratiquant le protocole créé par Romuald Leterrier ;
en famille ou entre amis, à travers des histoires et des défis originaux et inédits, faites jaillir des synchronicités depuis vos souvenirs et votre créativité ;
en utilisant les cartes comme un oracle.

Découvrez et amusez-vous avec les synchronicités !",Romuald Leterrier,9 juin 2022,9782813226662,,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgxMzIyNjY2Mi83YWM4NmU3ZjgyOGUyMTlmMzM3YzZiMzU3MjEzMDlhNTNhYTcwZmZmLmpwZWc=/7ac86e7f828e219f337c6b35721309a53aa70fff-250-375.jpeg?v=1&w=250&h=375&resize=fit
Quand le corps dit non - Le stress qui démolit,"Une personne peut-elle réellement mourir de solitude? Y a-t-il un lien entre la capacité à exprimer des émotions et la maladie d'Alzheimer? Les gens ayant une certaine personnalité sont-ils prédisposés à développer un cancer? En somme, le stress et les émotions peuvent-ils contribuer à l'apparition de diverses maladies? S'appuyant sur des décennies de pratique de la médecine, l'auteur résume les découvertes scientifiques et explique l'effet du lien entre le corps et l'esprit sur la santé. Si la médecine occidentale obtient des résultats spectaculaires lorsqu'elle traite des problèmes comme des fractures ou des infections, elle est cependant moins efficace lorsqu'il s'agit de troubles qui ne répondent pas à des interventions rapides comme la chirurgie ou l'administration d'un médicament. Gabor Maté soutient que la maladie est souvent le moyen dont l'organisme dispose pour se rebeller contre ce que l'esprit ne reconnaît pas. Selon lui, la connaissance du mécanisme de cette relation causale est essentielle à la guérison. Il démythifie la médecine avec érudition et compassion, et nous invite tous à défendre notre propre santé!",Gabor Maté,26 oct. 2017,9782761949378,352,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjc2MTk0OTM3OC9hYjNkOGU2NjllZTU3YTMxYzA3NmM1NmZjNDQ1NGU0OWE1MTk2NTJlLmpwZWc=/ab3d8e669ee57a31c076c56fc4454e49a519652e-250-375.jpeg?v=1&w=250&h=375&resize=fit
Le manuel du Borderline,"Difficulté à gérer des pics émotionnels, alternance d'idées suicidaires et d'enthousiasme excessif, dépendance à l'alcool, au sexe ou aux relations violentes, sentiment douloureux de ne pas savoir qui l'on est, peur panique d'être abandonné... le trouble de personnalité borderline est une maladie bien réelle qui prive ceux qui en sont atteints d'un contrôle de leur vie et d'une reconnaissance de leur souffrance. Mettre en mots la souffrance pour permettre aux malades et à leur entourage de la traverser, tel est l'objectif de ce manuel.

D'où viennent ces symptômes ? Comment fonctionnent-ils ? Quelle est l'origine de ce trouble ? Vers quelles solutions se tourner ?
Les trois auteurs spécialistes des états limites ont conçu ce livre comme un carnet de bord susceptible d'aider la personne borderline à comprendre les mécanismes de ces débordements, à se repérer dans les différents symptômes et à choisir la voie thérapeutique la plus adaptée. Le Manuel du borderline explique l'utilité d'un diagnostic, fait le point sur la recherche et livre pistes et outils pour vivre au jour le jour le trouble d'une façon plus apaisée.« Ce livre polyphonique vient combler un vide en mettant à la portée de tout lecteur non initié, les théories actuelles les plus sophistiquées relatives aux états limites ou borderlines. »
Dr. Arlette Lecoq, Psychanalyste (Société belge de psychanalyse).« Ce livre est une contribution remarquable à la diffusion des connaissances relatives aux troubles de la personnalité borderline. Aucun autre livre écrit pour le grand public ne se rapproche de la portée de ce manuel. Les auteurs parviennent à embrasser l'ensemble des aspects de ce phénomène complexe - de la neurobiologie à la thérapie psychanalytique en passant par les autres approches thérapeutiques - avec clarté et concision.
C'est un livre exceptionnel dans sa capacité à faire la synthèse de notions complexes sans sacrifier la profondeur des expériences qu'il rapporte. Ce livre sera une ressource précieuse pour les professionnels de la santé mentale ainsi que pour les personnes souffrant de trouble borderline, leurs familles et le grand public. »
Franck Yeomans, MD, PhD Professeur associé en psychiatrie clinique au Weill Medical College de Cornell University (États-Unis).",Bernadette Grosjean,23 janv. 2014,9782212557909,251,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIxMjU1NzkwOS83MzhjYjVkMDk3NjJhYjgzN2ZkN2FhYWI1NmE2MDJmZjdhM2MwNzNkLmpwZWc=/738cb5d09762ab837fd7aaab56a602ff7a3c073d-250-375.jpeg?v=1&w=250&h=375&resize=fit
L'apprentissage de l'imperfection,"Se dépasser, faire toujours mieux, être plus efficace.
 Tous les jours, nous nous imposons des objectifs
 impossibles à atteindre. Et plus nos exigences
 sont élevées, plus nous sommes sous pression,
 saisis par le doute et condamnés à la frustration
 permanente.Dans son livre, Tal Ben-Shahar nous encourage
 à nous affranchir de la quête d'une inaccessible
 perfection. Et nous offre pour cela de nombreux
 exercices simples et pratiques, comme être des
 parents «suffisamment bons», pratiquer la
 compassion pour soi, se donner la «permission
 d'être humain». Des solutions pour nous accomplir
 en toute liberté, pour être bien... et surtout pas
 parfait !",Tal Ben-Shahar,19 mai 2011,9782266210577,315,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjIxMDU3Ny8zNmIwYTNkZmRjNjc5NGE1OWFlOTMxOTRhYmI2YjQ3MjkxNjg0MDcxLmpwZWc=/36b0a3dfdc6794a59ae93194abb6b47291684071-250-375.jpeg?v=1&w=250&h=375&resize=fit
La puissance de votre subconscient - Le secret d'une force prodigieuse à votre portée,"Classique parmi les classiques, La puissance de votre subconscient estl'un des livres de croissance personnelle les plus vendus de tous les temps. Depuis sa publication initiale, il a changé de nombreuses vies. Par ses explications des diverses dynamiques de l'esprit, Joseph Murphy démontre que la transformation positive des schémas de pensées est le premier pas vers l'atteinte de nos objectifs personnels et de nos rêves. Au moyen de cas vécus, ce guide pratique et inspirant révèle les pouvoirs extraordinaires de notre subconscient, nous rappelant ses vastes influences sur tous les aspects de notre existence: santé, amour, argent, travail et bonheur. Il enseigne, à l'aide de techniques concrètes, comment libérer notre plein potentiel, acquérir une plus grande confiance en nous-mêmes, construire des relations harmonieuses, obtenir du succès, nous épanouir au quotidien et même pratiquer l'autoguérison. Un outil indispensable pour accéder aux trésors qui se cachent en chacun de nous!",Joseph Murphy,18 juin 2020,9782761955096,296,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjc2MTk1NTA5Ni9mZTMwOGI0YmYwMjZkZTYwZjkxOGVlOTBkNzVkZWIxNjU5ZGM2ZTVjLmpwZWc=/fe308b4bf026de60f918ee90d75deb1659dc6e5c-250-375.jpeg?v=1&w=250&h=375&resize=fit
Souls secret box - Se découvrir ou raviver les liens amoureux,"Souls Secret Box
La Souls Secret Box est une parenthèse hors du temps, une bulle où il suffit de laisser la magie opérer. Que vous soyez en couple depuis plusieurs années ou que vous l'utilisiez pour vos premiers rendez-vous amoureux, cette box vous offre l'opportunité de vous détacher du superficiel et de sortir de la routine pour plonger au coeur des secrets de vos âmes

Ce coffret contient :



60 cartes + 1 livre explicatif",Stéphanie Abellan,27 janv. 2022,9782849336489,,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjg0OTMzNjQ4OS8xNjllZTZkOWMyMjU0MGU2ZjNmNTM4OTM1ZTA5MzkxOWIzN2M4NzNhLmpwZWc=/169ee6d9c22540e6f3f538935e093919b37c873a-250-375.jpeg?v=1&w=250&h=375&resize=fit
